"gross","genre","series_title","imdb_rating","director"
6739492,"Drama, Romance","Amour","7.9","Michael Haneke"
6391436,"Drama, Mystery, Romance","El secreto de sus ojos","8.2","Juan José Campanella"
6167817,"Drama, Mystery, Romance","Un long dimanche de fiançailles","7.6","Jean-Pierre Jeunet"
5820649,"Drama, Romance","Before Sunset","8.1","Richard Linklater"
5566534,"Drama, Music, Romance","Gully Boy","8","Zoya Akhtar"
5535405,"Drama, Romance","Before Sunrise","8.1","Richard Linklater"
5216888,"Drama, Music, Romance","Ba wang bie ji","8.1","Kaige Chen"
4360000,"Comedy, Romance","It Happened One Night","8.1","Frank Capra"
4360000,"Drama, Mystery, Romance","Rebecca","8.1","Alfred Hitchcock"
4231500,"Drama, Romance","The Lunchbox","7.8","Ritesh Batra"
4064200,"Comedy, Drama, Romance","Good Bye Lenin!","7.7","Wolfgang Becker"
4043686,"Drama, Mystery, Romance","Trois couleurs: Rouge","8.1","Krzysztof Kieslowski"
3981000,"Action, Adventure, Romance","The Adventures of Robin Hood","7.9","Michael Curtiz"
3759854,"Drama, Romance","Portrait de la jeune fille en feu","8.1","Céline Sciamma"
3358518,"Comedy, Drama, Romance","En man som heter Ove","7.7","Hannes Holm"
3333969,"Drama, Fantasy, Romance","Der Himmel über Berlin","8","Wim Wenders"
3200000,"Mystery, Romance, Thriller","Vertigo","8.3","Alfred Hitchcock"
2804874,"Comedy, Drama, Romance","Barfi!","8.1","Anurag Basu"
2734044,"Drama, Romance","Fa yeung nin wah","8.1","Kar-Wai Wong"
2603061,"Drama, History, Romance","Dà hóng denglong gaogao guà","8.1","Yimou Zhang"
2380788,"Drama, Romance","Bom Yeoareum Gaeul Gyeoul Geurigo Bom","8","Ki-duk Kim"
2217561,"Comedy, Drama, Romance","Lage Raho Munna Bhai","8.1","Rajkumar Hirani"
2199675,"Drama, Romance","La vie d'Adèle","7.7","Abdellatif Kechiche"
2006788,"Drama, Romance, Thriller","Ah-ga-ssi","8.1","Chan-wook Park"
2000000,"Comedy, Drama, Romance","Marriage Story","7.9","Noah Baumbach"
1752214,"Comedy, Drama, Romance","Flipped","7.7","Rob Reiner"
1464625,"Comedy, Drama, Romance","Trois couleurs: Blanc","7.6","Krzysztof Kieslowski"
1024560,"Drama, Romance, War","Casablanca","8.5","Michael Curtiz"
1008098,"Drama, Romance","Hævnen","7.6","Susanne Bier"
977375,"Action, Comedy, Romance","Sherlock Jr.","8.2","Buster Keaton"
548707,"Comedy, Drama, Romance","Jeux d'enfants","7.6","Yann Samuell"
539540,"Drama, Romance","Sunrise: A Song of Two Humans","8.1","F.W. Murnau"
536118,"Adventure, Drama, Romance","The African Queen","7.7","John Huston"
453243,"Animation, Drama, Romance","Omohide poro poro","7.6","Isao Takahata"
410800,"Comedy, Drama, Romance","Jab We Met","7.9","Imtiaz Ali"
348660,"Comedy, Crime, Romance","Crna macka, beli macor","8.1","Emir Kusturica"
335609,"Drama, Romance","God's Own Country","7.7","Francis Lee"
300000,"Comedy, Drama, Romance","Dil Chahta Hai","8.1","Farhan Akhtar"
296000,"Comedy, Drama, Romance","His Girl Friday","7.9","Howard Hawks"
259127,"Drama, Music, Romance","La leggenda del pianista sull'oceano","8.1","Giuseppe Tornatore"
238507,"Crime, Drama, Romance","Bin-jip","8","Ki-duk Kim"
233986,"Crime, Drama, Romance","Hana-bi","7.8","Takeshi Kitano"
203300,"Comedy, Drama, Romance","The Shop Around the Corner","8.1","Ernst Lubitsch"
175058,"Drama, Music, Romance","The Broken Circle Breakdown","7.7","Felix van Groeningen"
169209,"Comedy, Romance","Vicky Donor","7.8","Shoojit Sircar"
88300,"Drama, Romance","Hiroshima mon amour","7.9","Alain Resnais"
26331,"Drama, Romance","Belle de jour","7.7","Luis Buñuel"
19181,"Comedy, Drama, Romance","City Lights","8.5","Charles Chaplin"
10950,"Drama, Romance","Dev.D","8","Anurag Kashyap"
3600,"Drama, Fantasy, Romance","Mr. Nobody","7.8","Jaco Van Dormael"
